date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2020-05-23,15,10.8,10.55,6.1,,,52,35.4,36.5,21,-0.9,-4.2,-6.5,-12,45,26.71,26,7,45,8,102.6,102.38,102.2,101.8,101.67,101.46,101.27,100.87,48300,38887.5,36200,24100,,,,,7.5,0,5.5,3.5,0.6,0,,,,05:01:00,20:22:00,15.35,5.02,20.37,8,9,17,17,0,3,,,,,,1,0.1,0.5,0,,,,
2020-05-22,27.1,19.54,19,10.9,27,,47,32.4,32.5,18,8.9,2.3,0.6,-7.8,25,16.71,14.5,4,41,29,101.7,101.47,101.5,101.3,100.79,100.57,100.57,100.35,40200,34166.7,32150,24100,,,,,0,1,14,12,9,0,,,,05:02:00,20:21:00,15.32,5.03,20.35,8,9,26,26,5,5,,,,,,7,2.9,3.5,0,,,,
2020-05-21,27.6,18.93,18.05,8.5,26,,57,35.7,38.5,20,5,2.7,2.7,0.4,40,22.33,21.5,3,46,24,102.5,102.08,102.05,101.6,101.58,101.16,101.12,100.66,48300,40233.3,36200,24100,,,,,0,0.1,13.1,11.1,8.1,0,,,,05:03:00,20:20:00,15.28,5.05,20.33,9,9,23,23,10,11,,,,,,8,4.9,5,2,,,,
2020-05-20,23.8,15.2,14.15,4.5,,,58,33.9,36.5,15,0.1,-1.9,-2,-4.2,21,10.54,13,5,28,21,103.2,102.92,102.85,102.5,102.3,101.99,101.94,101.58,48300,40233.3,36200,24100,,,,,3.8,0,9.2,7.2,4.2,0,,,,05:04:00,20:19:00,15.25,5.07,20.32,8,8,21,21,8,8,,,,,,8,3.3,4,0,,,,
2020-05-19,16.7,10.83,10.15,3.6,,,71,45.7,47.5,24,1.2,-1.2,-1.4,-4,35,17.92,21,7,35,9,103.4,103.16,103.2,103,102.43,102.23,102.26,102.09,48300,40233.3,36200,24100,,,,,7.8,0,5.2,3.1,0.2,0,,,,05:05:00,20:18:00,15.22,5.08,20.3,7,8,15,16,2,2,,,,,,8,3.2,4,0,,,,
2020-05-18,16.5,10.89,9.8,3.1,,,52,34.3,38,24,-0.6,-4.6,-4.5,-8.4,28,14.62,16,4,31,8,103,102.66,102.75,102.5,102.06,101.75,101.82,101.59,48300,39882.6,36200,24100,,,,,8.2,0,4.8,2.8,0,0,,,,05:06:00,20:16:00,15.17,5.1,20.27,7,8,15,15,4,4,,,,,,6,1.7,3,0,,,,
2020-05-17,19.9,13.5,12.39,4.9,,,79,40.4,49,19,6.1,-1,-0.6,-7.4,20,9.62,11.5,3,35,34,102.6,102.4,102.45,102.3,101.69,101.48,101.51,101.34,56300,42900,40200,24100,,,,,5.6,0,7.4,5.4,2.4,0,,,,05:07:00,20:15:00,15.13,5.12,20.25,7,8,17,17,1,1,,,,,,8,5.2,5,2,,,,
2020-05-16,19.2,11.79,13.05,6.9,,,97,70,67.5,38,6.9,5.8,5.1,3.3,24,9.96,13,2,31,25,102.2,101.82,101.65,101.1,101.28,100.88,100.74,100.2,48300,37083.3,33800,19300,,,,,5,0,8.1,6,3,2.4,,,,05:09:00,20:14:00,15.08,5.15,20.23,7,7,15,15,6,6,,,,,,8,5.8,4.5,1,,,,
2020-05-15,15.4,10.12,11.1,6.8,,,94,61.2,66,38,6.3,2.4,1.1,-4.1,26,14.33,14,2,30,7,101.7,101.36,101.35,101,100.79,100.44,100.44,100.1,48300,32116.7,32200,16100,,,,,6.9,0,6.1,4.1,1.1,2.9,,,,05:10:00,20:13:00,15.05,5.17,20.22,5,6,14,15,5,6,,,,,,8,7.8,7.5,7,,,,
2020-05-14,18.4,10.36,7.54,-3.3,,-4,51,28.7,32,13,-4.6,-8.3,-7.7,-10.8,22,12.21,14.5,7,44,26,102.4,101.99,102,101.6,101.47,101.07,101.08,100.7,48300,39882.6,36200,24100,,,,,10.5,0,2.5,0.5,0,0,,,,05:11:00,20:11:00,15,5.18,20.18,7,7,16,17,5,5,,,,,,8,2.4,4,0,,,,
